condition,symptoms,triage_level,advice,medicine_category,see_doctor_if
Common Cold,"runny nose, sneezing, mild sore throat, mild cough, congestion",self-care,"Rest, stay hydrated, use steam inhalation, warm salt water gargle for sore throat.",decongestant / antihistamine,symptoms last beyond 10 days or fever exceeds 102F
Seasonal Flu,"fever, body ache, chills, fatigue, dry cough, headache",self-care,"Rest, fluids, monitor temperature. Isolate to avoid spreading.",fever reducer,fever persists beyond 3 days or breathing becomes difficult
Migraine,"throbbing one-sided headache, nausea, light sensitivity, sound sensitivity",self-care,"Rest in a dark quiet room, stay hydrated, avoid triggers like screens.",pain reliever,"headache is sudden and the worst you have ever had, or comes with confusion"
Tension Headache,"dull pressure headache, tight band around head, neck stiffness",self-care,"Rest, hydration, gentle neck stretches, reduce screen time.",pain reliever,headache is persistent daily for over 2 weeks
Acid Reflux / GERD,"burning chest sensation after eating, sour taste, bloating",self-care,"Avoid spicy/oily food, eat smaller meals, avoid lying down right after eating.",antacid,symptoms occur more than twice a week or you have trouble swallowing
Gastritis,"upper stomach pain, bloating, nausea after eating, mild burning",consult-doctor,"Avoid spicy and acidic food, eat smaller frequent meals.",antacid,pain is severe or there is vomiting with blood
Food Poisoning,"nausea, vomiting, diarrhea, stomach cramps, started after eating",self-care,"Stay hydrated with oral rehydration solution, rest, eat bland food (rice, banana).",oral rehydration salts,symptoms last more than 2 days or there is blood in stool
Gastroenteritis (Stomach Flu),"watery diarrhea, vomiting, mild fever, stomach cramps",self-care,"Hydration is key, small frequent sips of ORS, avoid dairy and oily food.",oral rehydration salts,signs of dehydration like dizziness or very reduced urination
Urinary Tract Infection (UTI),"burning urination, frequent urge to urinate, cloudy urine, lower abdominal discomfort",consult-doctor,"Drink plenty of water, avoid holding urine. Needs medical evaluation for antibiotics.",none - requires prescription,"fever, back pain, or blood in urine appears"
Seasonal Allergies (Allergic Rhinitis),"sneezing, itchy eyes, runny nose, nasal congestion, triggered by dust/pollen",self-care,"Avoid known triggers, keep windows closed during high pollen, wash face after outdoor exposure.",antihistamine,symptoms interfere significantly with sleep or daily activity
Mild Skin Rash / Contact Dermatitis,"red itchy patch of skin, mild swelling, appeared after contact with new product",self-care,"Avoid the irritant, keep area clean and dry, avoid scratching.",topical antihistamine cream,rash spreads rapidly or is accompanied by fever
Insect Bite Reaction,"localized redness, itching, mild swelling at bite site",self-care,"Clean the area, cold compress, avoid scratching.",topical antihistamine cream,swelling spreads beyond the bite area or breathing difficulty occurs
